client_id,segment,avg_monthly_balance,max_monthly_balance,txn_frequency_monthly,avg_txn_amount,days_since_last_txn
CLTIND00001,dormant,12228.05,20091.76,8,2398.29,8
CLTIND00002,regular,2463.8,4413.6,9,2813.854375,52
CLTIND00004,regular,3120.84,4403.33,23,4319.1,1
CLTIND00005,dormant,5733.69,11189.53,5,3892.946,22
CLTIND00006,regular,8369.71,17810.93,13,4164.296,54
CLTIND00007,regular,3090.33,3792.3,10,5050.2,25
CLTIND00008,regular,26306.03,34709.36,10,4338.435,31
CLTIND00009,dormant,2028.01,3737.84,6,1881.52,120
CLTIND00010,dormant,1078.97,1967.73,16,4060.8199999999997,112
CLTIND00011,dormant,3642.24,8247.55,4,3783.06,132
CLTIND00012,regular,3463.06,4316.32,11,1281.905,1
CLTIND00013,dormant,793.86,1046.26,4,2357.9,3
CLTIND00014,dormant,3581.54,6999.51,13,2864.3375,0
CLTIND00015,regular,2253.35,2745.63,9,3220.6233333333334,28
CLTIND00018,regular,1819.7,3344.7,9,5242.63,3
CLTIND00021,dormant,981.52,1346.99,5,6145.37,47
CLTIND00022,regular,1824.37,3156.6,13,3512.706666666667,6
CLTIND00023,dormant,7932.66,12879.83,22,961.01,0
CLTIND00024,priority,8362.08,20875.09,13,2134.733333333333,26
CLTIND00025,dormant,4604.13,7706.34,11,4710.61,105
CLTIND00026,dormant,730.28,1707.52,2,4464.286666666667,43
CLTIND00027,dormant,6102.7,9747.87,7,3966.73875,10
CLTIND00028,dormant,2975.39,7332.99,7,3892.075714285714,12
CLTIND00029,regular,3257.32,4963.89,15,3036.85,8
CLTIND00030,regular,1255.66,3081.48,18,1338.7766666666666,10
CLTIND00031,dormant,2957.86,5975.01,2,4434.133333333334,73
CLTIND00032,dormant,1753.62,2657.12,8,3454.9800000000005,10
CLTIND00033,regular,2916.44,4696.4,13,2019.0333333333335,48
CLTIND00035,regular,43798.69,80642.02,9,2944.18,8
CLTIND00036,regular,1134.98,1420.99,11,2841.566,37
CLTIND00037,regular,1543.17,2206.6,16,2532.64,72
CLTIND00038,regular,1003.13,1740.17,11,2678.844,59
CLTIND00039,regular,5911.52,14110.32,10,1399.92,11
CLTIND00040,dormant,1971.35,2788.83,5,2078.695,21
CLTIND00041,priority,7631.44,16216.32,13,3605.73,15
CLTIND00042,regular,1727.56,4120.47,11,5176.195,7
CLTIND00043,regular,1947.55,3608.28,9,1208.59,20
CLTIND00044,dormant,13569.02,22745.58,8,2442.2921428571426,16
CLTIND00045,dormant,24960.64,35903.41,14,1512.75,145
CLTIND00046,regular,3635.2,8525.75,19,917.195,26
CLTIND00047,priority,6614.0,13378.48,22,1263.17,10
CLTIND00048,regular,1607.78,1878.17,12,2908.9700000000003,67
CLTIND00049,regular,8753.16,17229.15,10,2456.825,41
CLTIND00050,regular,9852.44,22902.61,9,2221.222,29
CLTIND00051,dormant,6870.83,7733.49,1,5101.37,131
CLTIND00053,regular,1632.05,2923.54,12,2216.95,54
CLTIND00054,regular,2445.87,3217.34,12,1618.83,34
CLTIND00056,regular,1341.55,2958.14,10,8292.72,54
CLTIND00057,dormant,1838.78,2998.82,8,4552.172500000001,21
CLTIND00058,regular,9096.24,11618.78,9,4424.07,12
CLTIND00060,priority,4743.88,10872.29,13,3902.441666666667,18
