client_id,segment,avg_monthly_balance,txn_frequency_monthly
CLTIND00001,dormant,12228.05,8
CLTIND00002,dormant,2463.8,9
CLTIND00004,dormant,3120.84,23
CLTIND00005,dormant,5733.69,5
CLTIND00006,dormant,8369.71,13
CLTIND00007,dormant,3090.33,10
CLTIND00008,dormant,26306.03,10
CLTIND00009,dormant,2028.01,6
CLTIND00010,dormant,1078.97,16
CLTIND00011,dormant,3642.24,4
CLTIND00012,dormant,3463.06,11
CLTIND00013,dormant,793.86,4
CLTIND00014,dormant,3581.54,13
CLTIND00015,dormant,2253.35,9
CLTIND00018,dormant,1819.7,9
CLTIND00021,dormant,981.52,5
CLTIND00022,dormant,1824.37,13
CLTIND00023,dormant,7932.66,22
CLTIND00024,dormant,8362.08,13
CLTIND00025,dormant,4604.13,11
CLTIND00026,dormant,730.28,2
CLTIND00027,dormant,6102.7,7
CLTIND00028,dormant,2975.39,7
CLTIND00029,dormant,3257.32,15
CLTIND00030,dormant,1255.66,18
CLTIND00031,dormant,2957.86,2
CLTIND00032,dormant,1753.62,8
CLTIND00033,dormant,2916.44,13
CLTIND00035,dormant,43798.69,9
CLTIND00036,dormant,1134.98,11
CLTIND00037,dormant,1543.17,16
CLTIND00038,dormant,1003.13,11
CLTIND00039,dormant,5911.52,10
CLTIND00040,dormant,1971.35,5
CLTIND00041,dormant,7631.44,13
CLTIND00042,dormant,1727.56,11
CLTIND00043,dormant,1947.55,9
CLTIND00044,dormant,13569.02,8
CLTIND00045,dormant,24960.64,14
CLTIND00046,dormant,3635.2,19
CLTIND00047,dormant,6614.0,22
CLTIND00048,dormant,1607.78,12
CLTIND00049,dormant,8753.16,10
CLTIND00050,dormant,9852.44,9
CLTIND00051,dormant,6870.83,1
CLTIND00053,dormant,1632.05,12
CLTIND00054,dormant,2445.87,12
CLTIND00056,dormant,1341.55,10
CLTIND00057,dormant,1838.78,8
CLTIND00058,dormant,9096.24,9
CLTIND00060,dormant,4743.88,13
CLTIND00061,dormant,2361.03,9
CLTIND00062,dormant,14985.59,11
CLTIND00063,dormant,7855.41,21
CLTIND00064,dormant,4335.8,10
CLTIND00065,dormant,1584.12,4
CLTIND00066,dormant,1108.25,8
CLTIND00067,dormant,6365.0,8
CLTIND00068,dormant,23453.23,16
CLTIND00069,dormant,4057.27,7
CLTIND00070,dormant,10823.73,20
CLTIND00072,dormant,4881.6,12
CLTIND00073,dormant,4435.09,19
CLTIND00075,dormant,8552.28,6
CLTIND00076,dormant,5639.25,19
CLTIND00077,dormant,1850.83,10
CLTIND00078,dormant,3627.74,16
CLTIND00079,dormant,6226.22,16
CLTIND00081,dormant,2332.75,6
CLTIND00082,dormant,16567.23,29
CLTIND00083,dormant,1082.24,4
CLTIND00085,dormant,13655.87,5
CLTIND00086,dormant,2188.46,7
CLTIND00088,dormant,20451.46,16
CLTIND00089,dormant,10696.25,7
CLTIND00090,dormant,2070.32,7
CLTIND00092,dormant,5876.13,17
CLTIND00093,dormant,2590.6,12
CLTIND00094,dormant,1300.99,14
CLTIND00095,dormant,1612.22,8
CLTIND00096,dormant,5259.99,13
CLTIND00098,dormant,5878.07,6
CLTIND00099,dormant,16061.57,6
CLTIND00100,dormant,1346.24,15
CLTIND00101,dormant,7457.19,21
CLTIND00102,dormant,3341.59,12
CLTIND00103,dormant,1537.14,15
CLTIND00104,dormant,14258.55,12
CLTIND00106,dormant,646.31,7
CLTIND00107,dormant,8984.3,15
CLTIND00108,dormant,5885.6,7
CLTIND00109,dormant,1977.13,4
CLTIND00110,dormant,1600.79,7
CLTIND00111,dormant,4032.07,16
CLTIND00112,dormant,26884.49,11
CLTIND00113,dormant,271.84,8
CLTIND00114,dormant,8392.09,4
CLTIND00116,dormant,4766.66,9
CLTIND00117,dormant,1440.19,5
CLTIND00118,dormant,6878.86,15
CLTIND00119,dormant,7928.33,5
CLTIND00121,dormant,16696.49,9
CLTIND00123,dormant,2075.44,6
CLTIND00124,dormant,3233.09,13
CLTIND00125,dormant,276.56,7
CLTIND00126,dormant,3661.48,23
CLTIND00127,dormant,2197.66,13
CLTIND00128,dormant,2884.48,4
CLTIND00129,dormant,3784.56,12
CLTIND00130,dormant,3097.88,8
CLTIND00131,dormant,1105.13,10
CLTIND00132,dormant,4345.01,10
CLTIND00133,dormant,15954.62,14
CLTIND00134,dormant,4950.56,10
CLTIND00135,dormant,747.68,9
CLTIND00137,dormant,1111.48,19
CLTIND00138,dormant,3520.27,4
CLTIND00140,dormant,5118.87,7
CLTIND00141,dormant,5797.33,6
CLTIND00142,dormant,19451.76,11
CLTIND00143,dormant,530.36,11
CLTIND00144,dormant,1727.84,10
CLTIND00145,dormant,1881.87,19
CLTIND00146,dormant,2568.33,6
CLTIND00148,dormant,1161.34,2
CLTIND00149,dormant,574.84,10
CLTIND00150,dormant,6607.3,7
CLTIND00151,dormant,3686.65,13
CLTIND00152,dormant,25267.15,10
CLTIND00154,dormant,1677.41,7
CLTIND00155,dormant,1149.4,13
CLTIND00156,dormant,2500.66,7
CLTIND00157,dormant,4758.1,14
CLTIND00158,dormant,1871.52,9
CLTIND00159,dormant,46883.7,11
CLTIND00160,dormant,1610.85,7
CLTIND00161,dormant,4501.32,14
CLTIND00162,dormant,3001.67,11
CLTIND00163,dormant,6097.79,7
CLTIND00164,dormant,2094.89,5
CLTIND00165,dormant,9067.15,23
CLTIND00166,dormant,1274.37,5
CLTIND00168,dormant,4342.97,8
CLTIND00169,dormant,278.41,10
CLTIND00170,dormant,1180.32,10
CLTIND00171,dormant,5613.71,12
CLTIND00172,dormant,3118.53,12
CLTIND00173,dormant,840.66,12
CLTIND00174,dormant,4424.25,17
CLTIND00175,dormant,3854.79,19
CLTIND00176,dormant,2084.95,23
CLTIND00178,dormant,15881.77,10
CLTIND00179,dormant,3572.58,6
CLTIND00180,dormant,631.85,25
CLTIND00182,dormant,1200.19,18
CLTIND00183,dormant,13893.48,16
CLTIND00184,dormant,1032.19,10
CLTIND00186,dormant,4280.32,8
CLTIND00188,dormant,10990.28,8
CLTIND00189,dormant,2825.76,11
CLTIND00190,dormant,5084.39,3
CLTIND00191,dormant,2700.71,8
CLTIND00192,dormant,13451.53,10
